h_w_sports,h_w_on_campus,h_w_off_campus,stress,pressure_commitments,pressure_internship,class_pressure,major,year,gender,year_gender_weight,year_gender_x_major_weight
1,1,2,2,3,4,5,42,1,3,1.1165516979780017,0.16107954545454548
1,2,3,5,6,4,4,38,4,1,1.0213559569955384,0.075
1,2,1,4,3,4,4,42,1,3,1.1165516979780017,0.16107954545454548
1,1,5,4,4,5,4,42,2,1,1.276694946244423,0.22125
1,2,2,4,5,5,5,58,3,3,0.7815861885846012,0.42942073170731704
1,2,5,3,4,5,4,57,3,1,0.9575212096833173,0.46746575342465746
1,1,2,2,2,2,4,68,2,1,1.276694946244423,1.6601183431952662
1,1,1,5,4,4,6,68,1,3,1.1165516979780017,1.7025547445255476
1,1,1,3,4,5,6,68,2,3,1.0421149181128015,1.589051094890511
1,1,1,2,2,4,4,57,1,1,1.3678874424047391,0.6678082191780821
1,3,2,4,4,4,3,30,3,3,0.7815861885846012,0.345
1,1,5,4,4,2,4,44,3,3,0.7815861885846012,0.735
1,2,3,4,4,5,4,37,4,3,0.8336919344902411,0.23625000000000002
3,1,1,4,4,4,4,57,3,3,0.7815861885846012,0.43237397820163487
1,1,1,4,4,4,4,57,4,3,0.8336919344902411,0.4611989100817439
1,2,1,4,2,4,2,31,3,1,0.9575212096833173,0.8549999999999999
1,2,4,4,5,5,3,68,3,3,0.7815861885846012,1.1917883211678832
1,3,1,2,4,4,2,7,3,3,0.7815861885846012,0.22499999999999998
1,3,4,2,5,5,5,58,4,3,0.8336919344902411,0.45804878048780484
1,1,1,1,4,5,5,68,3,3,0.7815861885846012,1.1917883211678832
1,1,2,3,4,4,4,68,1,1,1.3678874424047391,1.778698224852071
1,1,2,3,2,2,4,20,3,3,0.7815861885846012,0.255
1,2,1,4,3,4,5,68,4,3,0.8336919344902411,1.2712408759124088
1,1,3,2,1,5,5,58,3,3,0.7815861885846012,0.42942073170731704
1,2,1,5,5,5,4,68,3,3,0.7815861885846012,1.1917883211678832
1,2,1,4,6,6,4,44,1,1,1.3678874424047391,0.21
1,1,1,2,2,4,4,68,2,3,1.0421149181128015,1.589051094890511
1,2,1,2,4,4,4,42,2,3,1.0421149181128015,0.1503409090909091
1,1,5,4,4,4,5,57,4,3,0.8336919344902411,0.4611989100817439
1,2,1,3,2,4,2,68,2,3,1.0421149181128015,1.589051094890511
1,1,1,2,5,5,5,57,1,3,1.1165516979780017,0.6176771117166213
1,1,1,4,2,2,4,13,2,3,1.0421149181128015,0.3548076923076923
2,3,1,2,3,4,2,57,2,1,1.276694946244423,0.62328767123287665
5,2,3,2,4,4,4,47,4,3,0.8336919344902411,0.6225
1,3,4,4,5,5,4,68,4,3,0.8336919344902411,1.2712408759124088
1,4,1,3,4,4,4,68,3,3,0.7815861885846012,1.1917883211678832
1,5,5,4,3,2,2,57,3,3,0.7815861885846012,0.43237397820163487
2,1,2,3,2,2,3,42,2,1,1.276694946244423,0.22125
1,2,1,4,4,4,4,68,3,1,0.9575212096833173,1.2450887573964495
1,5,1,2,2,2,5,31,4,3,0.8336919344902411,0.3975
1,2,1,4,4,4,6,68,1,1,1.3678874424047391,1.778698224852071
1,2,1,2,3,4,4,57,1,3,1.1165516979780017,0.6176771117166213
1,1,3,3,2,4,4,68,1,1,1.3678874424047391,1.778698224852071
1,2,5,3,4,5,4,56,4,3,0.8336919344902411,0.6
1,2,1,4,5,5,5,68,2,3,1.0421149181128015,1.589051094890511
2,1,1,2,2,4,4,68,1,1,1.3678874424047391,1.778698224852071
1,1,1,1,6,6,4,58,1,1,1.3678874424047391,0.54
1,1,1,4,4,5,2,13,4,3,0.8336919344902411,0.28384615384615386
1,5,1,2,6,4,6,58,2,3,1.0421149181128015,0.572560975609756
1,2,1,3,6,4,4,13,4,3,0.8336919344902411,0.28384615384615386
2,1,1,1,6,4,4,57,4,1,1.0213559569955384,0.49863013698630126
1,1,1,6,4,4,4,20,3,3,0.7815861885846012,0.255
1,1,1,2,4,5,5,37,4,3,0.8336919344902411,0.23625000000000002
1,1,4,2,4,5,5,57,1,1,1.3678874424047391,0.6678082191780821
1,1,4,4,4,4,5,68,2,3,1.0421149181128015,1.589051094890511
1,1,1,2,3,4,NA,68,1,3,1.1165516979780017,1.7025547445255476
1,2,1,4,4,4,5,58,4,3,0.8336919344902411,0.45804878048780484
